0;0,431786461
1;0,199939454
2;0,404654353
3;0,944494927
4;0,506653019
5;0,386439924
6;0
7;0,56425064
8;0,822438639
9;0,630064968
10;0,826234657
11;0
12;0,735432436
13;0
14;0,967661709
15;1
16;0,650412447
17;0,774379367
18;0,895113372
19;0,758066859
20;0,20257639
21;0
22;0,899019248
23;0,364958927
24;0,450996361
25;0,298154851
26;0,093493109
27;0,716000094
28;0,967661709
29;0,446447528
30;0,724537406
31;0,072336716
32;0,199099582
33;0,619517075
34;0,419748514
35;0,153286798
36;0,713145919
37;0,758528844
38;0,430676558
39;0,489012483
40;0,605436626
41;0,255024177
42;0
43;0,632980219
44;0,528078517
45;0,750648605
46;0,569764711
47;0
48;0,613147193
49;0,57717301
50;0
51;0
52;0
53;0,503225191
54;0,725809071
55;0,244361995
56;0,784180277
57;0,274876333
58;0,614965181
59;0,412961289
