0;0,115910745
1;0,375455259
2;0,169513125
3;0,881368954
4;0,619148002
5;0,11549772
6;0
7;0,812250365
8;1,000417173
9;0,56177947
10;0,413117329
11;0
12;0,355088773
13;0,477921821
14;0,885586074
15;0,336804213
16;0,367991847
17;0,491605929
18;0,200142203
19;0,794190498
20;0,19625472
21;0
22;0,909561134
23;0
24;0,765368785
25;0,396028064
26;0,099292935
27;0,308014667
28;0,866088659
29;0
30;0,708258967
31;0
32;0,387941316
33;0,874303937
34;0
35;0,613147193
36;0,254421576
37;1,08187328
38;0,603571488
39;0,3373627
40;0,562823574
41;0,249249731
42;0
43;0,647179575
44;0,530569144
45;0,710790987
46;0,291285056
47;0,284015679
48;0,184575697
49;0,396483151
50;0,603571488
51;0
52;0
53;0
54;0,491843969
55;0
56;0,395646724
57;0,628922744
58;0,498596717
59;0,208769332
