0;0,431786461;;NDCG;0,43310761
1;0,217294789;;;
2;0,266764318;;;
3;0,926610949;;;
4;0,238974925;;;
5;0,279596045;;;
6;0;;;
7;0,56425064;;;
8;0,810529341;;;
9;0,507539273;;;
10;0,521296029;;;
11;0;;;
12;0,682923475;;;
13;0;;;
14;0,957347695;;;
15;1;;;
16;0,589525489;;;
17;0,858398965;;;
18;0,755912488;;;
19;0,828716335;;;
20;0,458199334;;;
21;0;;;
22;0,906656029;;;
23;0,364958927;;;
24;0,44495772;;;
25;0,298154851;;;
26;0;;;
27;0,611397851;;;
28;0,957347695;;;
29;0,11549772;;;
30;0,841745211;;;
31;0,082907138;;;
32;0,289684166;;;
33;0,755917554;;;
34;0,242076254;;;
35;0;;;
36;0,71174033;;;
37;0,758528844;;;
38;0;;;
39;0,466931465;;;
40;0,50034986;;;
41;0,24980443;;;
42;0;;;
43;0,620787553;;;
44;0,480831821;;;
45;0,750648605;;;
46;0,519158151;;;
47;0;;;
48;0,613147193;;;
49;0,57717301;;;
50;0;;;
51;0;;;
52;0;;;
53;0,503225191;;;
54;0,681738111;;;
55;0,244361995;;;
56;0,784180277;;;
57;0,274876333;;;
58;0,263070095;;;
59;0,178935696;;;
